,,grammatical,number of,number of,graphemic,number of,number of,EQOL,Levenstein,Grapheme-Phoneme segmentation,,,Phoneme-Grapheme segmentation,,,Rime segmentation,,,Rime match frequency,,Ortho-Phono rime consistency,,Phono-Ortho rime consistency,,G-Ph frequency,,Ph-G frequency,,G-Ph consistency,,Ph-G consistency,,Least frequent G-Ph,,Least frequent Ph-G,,Least consistent G-Ph,,Least consistent Ph-G,,Frequency initial G-Ph,,Mean frequency internal G-Ph,,Frequency final G-Ph,,Frequency initial Ph-G,,Mean frequency internal Ph-G,,Frequency final Ph-G,,Consistency initial G-Ph,,Mean consistency internal G-Ph,,Consistency final G-Ph,,Consistency initial Ph-G,,Mean Consistencyinternal Ph-G,,Consistency final Ph-G,
promesses,pROmEs,NC,9,6,1.5,8,2,3.10977,2.85,.p.r.o.m.e[CC].ss.e.s,.p.R.O.m.E.s.°.#,(p-p.r-R.o-O.m-m.e[CC]-E.ss-s.e-°.s-#),.p.r.o.m.e.sses,.p.R.O.m.E.s,(p-p.r-R.o-O.m-m.e-E.sses-s),esses,Es,esses-Es,10,50,100,100,15.873,3.99,2347,85219,1919,61427,97.017,96.15,75.923,74.898,571,e[CC]-E,32,sses-s,87.982,e[CC]-E,6.653,sses-s,1317,78832.869,2243,65426.775,4002,210357.889,1317,78832.869,2541,72346.84,32,342.079,100,100,96.176,95.412,99.084,96.724,100,100,87.221,86.98,6.653,1.468
promettant,pROmEt@,VER,10,7,1.43,8,3,3.10977,2.8,.p.r.o.m.e[CC].tt.an.t,.p.R.O.m.E.t.@.#,(p-p.r-R.o-O.m-m.e[CC]-E.tt-t.an-@.t-#),.p.r.o.m.e.tt.ant,.p.R.O.m.E.t.@,(p-p.r-R.o-O.m-m.e-E.tt-t.ant-@),ant,@,ant-@,298,7768,100,100,34.571,14.148,1902,66411,1710,54148,97.005,96.384,70.002,67.185,315,tt-t,160,tt-t,87.982,e[CC]-E,4.874,tt-t,1317,78832.869,1974,60983.397,2055,86557.658,1317,78832.869,2064,58422.931,331,8088.567,100,100,96.159,95.411,99.084,98.604,100,100,70.752,70.204,36.254,19.274
promettent,pROmEt,VER,10,6,1.67,8,2,3.10977,2.95,.p.r.o.m.e[CC].tt.en.t,.p.R.O.m.E.t.#.#,(p-p.r-R.o-O.m-m.e[CC]-E.tt-t.en-#.t-#),.p.r.o.m.e.ttent,.p.R.O.m.E.t,(p-p.r-R.o-O.m-m.e-E.ttent-t),ettent,Et,ettent-Et,7,295,100,100,4.192,3.913,1856,63121,1915,61427,88.926,87.379,75.03,74.831,315,tt-t,11,ttent-t,35.269,en-#,1.294,ttent-t,1317,78832.869,1913,56596.535,2055,86557.658,1317,78832.869,2541,72346.84,11,342.076,100,100,85.387,83.405,99.084,98.604,100,100,87.221,86.98,1.294,1.068
prometteur,pROmEt9R,"ADJ,NC",10,8,1.25,8,3,6.21954,3.35,.p.r.o.m.e[CC].tt.eu.r,.p.R.O.m.E.t.9.R,(p-p.r-R.o-O.m-m.e[CC]-E.tt-t.eu-9.r-R),.p.r.o.m.e.tt.eu.r,.p.R.O.m.E.t.9.R,(p-p.r-R.o-O.m-m.e-E.tt-t.eu-9.r-R),eur,9R,eur-9R,153,6412,100,100,54.448,59.82,1612,57072,1551,52908,92.72,91.734,70.984,72.756,315,tt-t,160,tt-t,64.992,eu-9,4.874,tt-t,1317,78832.869,1871,57108.088,352,35090.703,1317,78832.869,1787,51383.511,364,36129.368,100,100,90.341,89.068,99.717,99.462,100,100,74.115,74.205,23.185,36.823
promis,pROmi,"VER,ADJ,NC",6,5,1.2,6,2,9.32932,2.25,.p.r.o.m.i.s,.p.R.O.m.i.#,(p-p.r-R.o-O.m-m.i-i.s-#),.p.r.o.m.is,.p.R.O.m.i,(p-p.r-R.o-O.m-m.is-i),is,i,is-i,97,8297,95.098,98.632,17.415,21.56,3257,119066,2005,64542,93.713,92.272,80.6,81.583,1317,p-p,108,is-i,74.122,i-i,17.28,is-i,1317,78832.869,3556,106301.78,4002,210357.889,1317,78832.869,2866,77719.791,108,10716.285,100,100,90.798,89.227,99.084,96.724,100,100,95.239,94.776,17.28,23.587
promotion,pROmOsj§,NC,9,8,1.13,8,3,6.21954,3.45,.p.r.o.m.o.t.i.on,.p.R.O.m.O.s.j.§,(p-p.r-R.o-O.m-m.o-O.t-s.i-j.on-§),.p.r.o.m.o.t.i.on,.p.R.O.m.O.s.j.§,(p-p.r-R.o-O.m-m.o-O.t-s.i-j.on-§),ion,j§,ion-j§,269,11985,99.63,99.974,61.982,71.028,1979,65967,1812,57378,76.398,75.563,80.668,82.29,408,on-§,408,on-§,9.193,t-s,16.03,t-s,1317,78832.869,2352,70714.433,408,24620.095,1317,78832.869,2128,59261.639,408,24620.095,100,100,68.692,67.452,99.029,99.786,100,100,82.757,83.885,48.804,55.006
pronom,pROn§,NC,6,5,1.2,5,2,416.70943,2.7,.p.r.o.n.om,.p.R.O.n.§,(p-p.r-R.o-O.n-n.om-§),.p.r.o.n.om,.p.R.O.n.§,(p-p.r-R.o-O.n-n.om-§),om,§,om-§,4,2382,100,100,0.998,6.735,2231,77598,1941,61360,97.872,96.858,75.219,75.906,4,om-§,4,om-§,89.393,o-O,0.478,om-§,1317,78832.869,3278,102259.038,4,2382.085,1317,78832.869,2795,75194.645,4,2382.085,100,100,96.454,94.763,100,100,100,100,91.872,91.403,0.478,5.322
pronoms,pROn§,NC,7,5,1.4,6,2,99.5127,2.65,.p.r.o.n.om.s,.p.R.O.n.§.#,(p-p.r-R.o-O.n-n.om-§.s-#),.p.r.o.n.oms,.p.R.O.n.§,(p-p.r-R.o-O.n-n.oms-§),oms,§,oms-§,3,638,100,100,0.748,1.803,2560,101514,1941,61011,98.074,96.835,75.195,75.127,206,om-§,3,oms-§,89.393,o-O,0.359,oms-§,1317,78832.869,2510,79972.763,4002,210357.889,1317,78832.869,2795,75194.645,3,637.503,100,100,97.34,96.072,99.084,96.724,100,100,91.872,91.403,0.359,1.424
prononce,pROn§s,VER,8,6,1.33,7,2,62.19544,2.7,.p.r.o.n.on.c.e,.p.R.O.n.§.s.°,(p-p.r-R.o-O.n-n.on-§.c-s.e-°),.p.r.o.n.on.ce,.p.R.O.n.§.s,(p-p.r-R.o-O.n-n.on-§.ce-s),once,§s,once-§s,6,211,100,100,50,11.258,2261,86850,1737,54559,89.836,89.097,79.988,76.886,720,c-s,145,ce-s,39.889,c-s,30.146,ce-s,1317,78832.869,2310,72148.858,2962,168375.764,1317,78832.869,2241,60290.21,145,7357.728,100,100,85.77,84.736,100,100,100,100,87.445,82.437,30.146,31.568
prononcent,pROn§s,VER,10,6,1.67,8,2,15.54886,3.55,.p.r.o.n.on.c.en.t,.p.R.O.n.§.s.#.#,(p-p.r-R.o-O.n-n.on-§.c-s.en-#.t-#),.p.r.o.n.on.cent,.p.R.O.n.§.s,(p-p.r-R.o-O.n-n.on-§.cent-s),oncent,§s,oncent-§s,3,68,100,100,25,3.642,1947,67406,1716,53406,82.9,81.28,75.483,71.94,650,en-#,15,cent-s,35.269,en-#,3.119,cent-s,1317,78832.869,2034,62310.23,2055,86557.658,1317,78832.869,2241,60290.21,15,441.589,100,100,77.353,75.272,99.084,98.604,100,100,87.445,82.437,3.119,1.895
prononcer,pROn§se,VER,9,7,1.29,7,3,9.32932,3.05,.p.r.o.n.on.c.er,.p.R.O.n.§.s.e,(p-p.r-R.o-O.n-n.on-§.c-s.er-e),.p.r.o.n.on.c.er,.p.R.O.n.§.s.e,(p-p.r-R.o-O.n-n.on-§.c-s.er-e),er,e,er-e,632,15089,98.596,94.232,28.571,26.531,1953,65605,1653,50115,89.626,88.38,71.309,69.631,720,c-s,484,c-s,39.889,c-s,18.877,c-s,1317,78832.869,2310,72148.858,805,19660.067,1317,78832.869,1889,50462.509,805,19660.067,100,100,85.77,84.736,98.531,94.982,100,100,73.732,69.456,30.504,40.134
propage,pROpaZ,VER,7,6,1.17,7,2,3.10977,2.65,.p.r.o.p.a.g.e,.p.R.O.p.a.Z.°,(p-p.r-R.o-O.p-p.a-a.g-Z.e-°),.p.r.o.p.a.ge,.p.R.O.p.a.Z,(p-p.r-R.o-O.p-p.a-a.ge-Z),age,aZ,age-aZ,83,3200,98.81,99.324,67.48,66.216,2627,94686,2287,70131,91.076,89.034,90.096,91.838,616,g-Z,155,ge-Z,59.632,g-Z,61.508,ge-Z,1317,78832.869,2822,83118.336,2962,168375.764,1317,78832.869,3062,83978.999,155,6039.191,100,100,87.506,84.648,100,100,100,100,94.767,95.293,61.508,69.856
propagent,pROpaZ,VER,9,6,1.5,8,2,3.10977,3.1,.p.r.o.p.a.g.en.t,.p.R.O.p.a.Z.°.#,(p-p.r-R.o-O.p-p.a-a.g-Z.en-°.t-#),.p.r.o.p.a.gent,.p.R.O.p.a.Z,(p-p.r-R.o-O.p-p.a-a.gent-Z),agent,aZ,agent-aZ,9,78,90,96.154,7.317,1.609,2199,72736,2265,69177,80.323,77.971,81.564,80.795,110,en-°,26,gent-Z,5.969,en-°,10.317,gent-Z,1317,78832.869,2370,69415.589,2055,86557.658,1317,78832.869,3062,83978.999,26,310.983,100,100,73.916,70.86,99.084,98.604,100,100,94.767,95.293,10.317,3.597
proportions,pROpORsj§,NC,11,9,1.22,10,3,6.21954,3.8,.p.r.o.p.o.r.t.i.on.s,.p.R.O.p.O.R.s.j.§.#,(p-p.r-R.o-O.p-p.o-O.r-R.t-s.i-j.on-§.s-#),.p.r.o.p.o.r.t.i.ons,.p.R.O.p.O.R.s.j.§,(p-p.r-R.o-O.p-p.o-O.r-R.t-s.i-j.ons-§),ions,j§,ions-j§,142,4512,100,100,32.719,26.742,2662,94392,2169,64981,80.807,79.469,80.69,79.416,411,t-s,333,ons-§,9.193,t-s,16.03,t-s,1317,78832.869,2662,81840.588,4002,210357.889,1317,78832.869,2553,71123.475,333,8128.987,100,100,76.123,74.746,99.084,96.724,100,100,83.768,85.226,39.833,18.162
propos,pROpo,NC,6,5,1.2,6,2,90.18338,2.15,.p.r.o.p.o.s,.p.R.O.p.o.#,(p-p.r-R.o-O.p-p.o-o.s-#),.p.r.o.p.os,.p.R.O.p.o,(p-p.r-R.o-O.p-p.os-o),os,o,os-o,21,1213,80.769,89.245,8.171,4.71,2584,100362,2001,63484,82.658,81.742,77.397,77.806,276,o-o,21,os-o,10.53,o-o,7.609,os-o,1317,78832.869,2547,78245.29,4002,210357.889,1317,78832.869,2889,79124.372,21,1212.811,100,100,74.216,73.432,99.084,96.724,100,100,93.125,93.91,7.609,7.302
proposa,pROpozA,VER,7,7,1,7,3,6.21954,2.5,.p.r.o.p.o.s.a,.p.R.O.p.o.z.A,(p-p.r-R.o-O.p-p.o-o.s-z.a-A),.p.r.o.p.o.s.a,.p.R.O.p.o.z.A,(p-p.r-R.o-O.p-p.o-o.s-z.a-A),a,A,a-A,211,4027,92.952,10.64,66.144,29.075,1816,60619,1585,49065,76.684,63.541,84.849,79.474,227,a-A,207,o-o,10.53,o-o,53.077,o-o,1317,78832.869,2234,68275.943,227,4123.597,1317,78832.869,1911,52099.496,227,4123.597,100,100,68.977,66.786,91.903,10.857,100,100,85.276,84.923,67.56,31.7
propose,pROpoz,VER,7,6,1.17,7,2,127.50065,2.15,.p.r.o.p.o.s.e,.p.R.O.p.o.z.°,(p-p.r-R.o-O.p-p.o-o.s-z.e-°),.p.r.o.p.o.se,.p.R.O.p.o.z,(p-p.r-R.o-O.p-p.o-o.se-z),ose,oz,ose-oz,18,939,100,100,52.941,62.14,2207,84084,1726,54411,77.841,76.276,80.858,81.703,276,o-o,166,se-z,10.53,o-o,52.698,se-z,1317,78832.869,2234,68275.943,2962,168375.764,1317,78832.869,2218,60434.815,166,5896.151,100,100,68.977,66.786,100,100,100,100,83.113,82.879,52.698,58.7
proposé,pROpoze,"VER,ADJ",7,7,1,7,3,12.43909,2.4,.p.r.o.p.o.s.é,.p.R.O.p.o.z.e,(p-p.r-R.o-O.p-p.o-o.s-z.é-e),.p.r.o.p.o.s.é,.p.R.O.p.o.z.e,(p-p.r-R.o-O.p-p.o-o.s-z.é-e),é,e,é-e,638,12194,100,100,28.843,21.44,1884,61887,1654,50332,77.841,76.276,79.008,78.735,276,o-o,207,o-o,10.53,o-o,26.677,é-e,1317,78832.869,2234,68275.943,704,12995.844,1317,78832.869,1911,52099.496,704,12995.844,100,100,68.977,66.786,100,100,100,100,85.276,84.923,26.677,26.53
proposées,pROpoze,"VER,ADJ",9,7,1.29,9,3,12.43909,2.75,.p.r.o.p.o.s.é.e.s,.p.R.O.p.o.z.e.#.#,(p-p.r-R.o-O.p-p.o-o.s-z.é-e.e-#.s-#),.p.r.o.p.o.s.ées,.p.R.O.p.o.z.e,(p-p.r-R.o-O.p-p.o-o.s-z.ées-e),ées,e,ées-e,207,2590,100,100,9.358,4.555,2178,76767,1586,48886,72.441,70.299,76.448,75.783,276,o-o,207,o-o,8.14,e-#,8.753,ées-e,1317,78832.869,2040,57387.992,4002,210357.889,1317,78832.869,1911,52099.496,231,2873.463,100,100,64.697,62.281,99.084,96.724,100,100,85.276,84.923,8.753,5.866
proposent,pROpoz,VER,9,6,1.5,8,2,34.20749,2.8,.p.r.o.p.o.s.en.t,.p.R.O.p.o.z.#.#,(p-p.r-R.o-O.p-p.o-o.s-z.en-#.t-#),.p.r.o.p.o.sent,.p.R.O.p.o.z,(p-p.r-R.o-O.p-p.o-o.sent-z),osent,oz,osent-oz,7,103,100,100,20.588,6.79,1899,64986,1707,53564,72.405,70.061,74.774,73.266,276,o-o,51,sent-z,10.53,o-o,16.19,sent-z,1317,78832.869,1970,59082.801,2055,86557.658,1317,78832.869,2218,60434.815,51,811.656,100,100,63.359,60.314,99.084,98.604,100,100,83.113,82.879,16.19,8.081
proposer,pROpoze,VER,8,7,1.14,7,3,12.43909,2.4,.p.r.o.p.o.s.er,.p.R.O.p.o.z.e,(p-p.r-R.o-O.p-p.o-o.s-z.er-e),.p.r.o.p.o.s.er,.p.R.O.p.o.z.e,(p-p.r-R.o-O.p-p.o-o.s-z.er-e),er,e,er-e,632,15089,98.596,94.232,28.571,26.531,1899,62839,1668,51284,77.631,75.559,79.555,80.679,276,o-o,207,o-o,10.53,o-o,30.504,er-e,1317,78832.869,2234,68275.943,805,19660.067,1317,78832.869,1911,52099.496,805,19660.067,100,100,68.977,66.786,98.531,94.982,100,100,85.276,84.923,30.504,40.134
proposera,pROpozRA,VER,9,8,1.13,9,3,6.21954,3.05,.p.r.o.p.o.s.e.r.a,.p.R.O.p.o.z.°.R.A,(p-p.r-R.o-O.p-p.o-o.s-z.e-°.r-R.a-A),.p.r.o.p.o.s.e.r.a,.p.R.O.p.o.z.°.R.A,(p-p.r-R.o-O.p-p.o-o.s-z.e-°.r-R.a-A),a,A,a-A,211,4027,92.952,10.64,66.144,29.075,2353,75719,1866,54715,81.862,71.642,87.791,83.577,227,a-A,207,o-o,10.53,o-o,53.077,o-o,1317,78832.869,2804,85502.642,227,4123.597,1317,78832.869,2179,58496.868,227,4123.597,100,100,77.836,76.275,91.903,10.857,100,100,88.938,88.642,67.56,31.7
proposés,pROpoze,"VER,ADJ",8,7,1.14,8,3,24.87817,2.55,.p.r.o.p.o.s.é.s,.p.R.O.p.o.z.e.#,(p-p.r-R.o-O.p-p.o-o.s-z.é-e.s-#),.p.r.o.p.o.s.és,.p.R.O.p.o.z.e,(p-p.r-R.o-O.p-p.o-o.s-z.és-e),és,e,és-e,339,4764,100,100,15.325,8.377,2405,85702,1607,49228,80.478,78.716,77.254,76.482,276,o-o,207,o-o,10.53,o-o,14.399,és-e,1317,78832.869,2320,66070.51,4002,210357.889,1317,78832.869,1911,52099.496,380,5268.017,100,100,74.124,72.168,99.084,96.724,100,100,85.276,84.923,14.399,10.754
proposition,pROpozisj§,NC,11,10,1.1,10,4,9.32932,3.5,.p.r.o.p.o.s.i.t.i.on,.p.R.O.p.o.z.i.s.j.§,(p-p.r-R.o-O.p-p.o-o.s-z.i-i.t-s.i-j.on-§),.p.r.o.p.o.s.i.t.i.on,.p.R.O.p.o.z.i.s.j.§,(p-p.r-R.o-O.p-p.o-o.s-z.i-i.t-s.i-j.on-§),ion,j§,ion-j§,269,11985,99.63,99.974,61.982,71.028,1901,62656,1689,51835,65.172,64.289,78.395,79.645,276,o-o,207,o-o,9.193,t-s,16.03,t-s,1317,78832.869,2160,65388.274,408,24620.095,1317,78832.869,1896,51861.514,408,24620.095,100,100,56.587,55.388,99.029,99.786,100,100,79.393,80.18,48.804,55.006
propre,pROpR,"ADJ,NC",6,5,1.2,6,1,124.39087,2.15,.p.r.o.p.r.e,.p.R.O.p.R.°,(p-p.r-R.o-O.p-p.r-R.e-°),.p.r.o.p.re,.p.R.O.p.R,(p-p.r-R.o-O.p-p.re-R),opre,OpR,opre-OpR,1,124,100,100,50,67.797,3402,124466,2104,70386,97.717,96.358,82.716,83.628,1317,p-p,537,re-R,89.393,o-O,34.204,re-R,1317,78832.869,4033,124896.724,2962,168375.764,1317,78832.869,2889,79124.372,537,35725.115,100,100,96.576,94.538,100,100,100,100,93.125,93.91,34.204,36.411
propres,pROpR,"ADJ,NC",7,5,1.4,7,1,59.08566,2.5,.p.r.o.p.r.e.s,.p.R.O.p.R.°.#,(p-p.r-R.o-O.p-p.r-R.e-°.s-#),.p.r.o.p.res,.p.R.O.p.R,(p-p.r-R.o-O.p-p.res-R),opres,OpR,opres-OpR,1,59,100,100,50,32.203,3384,121067,2047,65028,97.912,96.411,79.11,78.167,1317,p-p,254,res-R,89.393,o-O,16.178,res-R,1317,78832.869,3674,111656.202,4002,210357.889,1317,78832.869,2889,79124.372,254,8934.409,100,100,97.261,95.63,99.084,96.724,100,100,93.125,93.91,16.178,9.106
propriétaire,pROpRijetER,NC,12,11,1.09,11,4,43.53681,5.15,.p.r.o.p.r.i.é.t.ai.r.e,.p.R.O.p.R.ij.e.t.E.R.°,(p-p.r-R.o-O.p-p.r-R.i-ij.é-e.t-t.ai-E.r-R.e-°),.p.r.o.p.r.i.é.t.ai.re,.p.R.O.p.R.ij.e.t.E.R,(p-p.r-R.o-O.p-p.r-R.i-ij.é-e.t-t.ai-E.re-R),aire,ER,aire-ER,79,3427,100,100,27.719,28.461,3101,103263,2087,62876,88.234,87.056,76.638,78.064,80,i-ij,80,i-ij,1.384,i-ij,14.095,ai-E,1317,78832.869,3315,98742.938,2962,168375.764,1317,78832.869,2377,64275.015,537,35725.115,100,100,85.619,84.179,100,100,100,100,79.022,80.528,34.204,36.411
propriétaires,pROpRijetER,NC,13,11,1.18,12,4,21.7684,5.35,.p.r.o.p.r.i.é.t.ai.r.e.s,.p.R.O.p.R.ij.e.t.E.R.°.#,(p-p.r-R.o-O.p-p.r-R.i-ij.é-e.t-t.ai-E.r-R.e-°.s-#),.p.r.o.p.r.i.é.t.ai.res,.p.R.O.p.R.ij.e.t.E.R,(p-p.r-R.o-O.p-p.r-R.i-ij.é-e.t-t.ai-E.res-R),aires,ER,aires-ER,54,908,100,100,18.947,7.541,3116,103048,2059,60197,89.138,87.861,74.836,75.333,80,i-ij,80,i-ij,1.384,i-ij,14.095,ai-E,1317,78832.869,3207,94738.056,4002,210357.889,1317,78832.869,2377,64275.015,254,8934.409,100,100,87.057,85.761,99.084,96.724,100,100,79.022,80.528,16.178,9.106
propriété,pROpRijete,NC,9,10,0.9,9,4,43.53681,3.7,.p.r.o.p.r.i.é.t.é,.p.R.O.p.R.ij.e.t.e,(p-p.r-R.o-O.p-p.r-R.i-ij.é-e.t-t.é-e),.p.r.o.p.r.i.é.t.é,.p.R.O.p.R.ij.e.t.e,(p-p.r-R.o-O.p-p.r-R.i-ij.é-e.t-t.é-e),é,e,é-e,638,12194,100,100,28.843,21.44,2749,84245,2299,66105,85.718,84.263,82.751,84.247,80,i-ij,80,i-ij,1.384,i-ij,26.677,é-e,1317,78832.869,3245,95197.195,704,12995.844,1317,78832.869,2667,71873.393,704,12995.844,100,100,81.637,79.766,100,100,100,100,88.298,90.241,26.677,26.53
propriétés,pROpRijete,NC,10,10,1,10,4,18.65863,3.8,.p.r.o.p.r.i.é.t.é.s,.p.R.O.p.R.ij.e.t.e.#,(p-p.r-R.o-O.p-p.r-R.i-ij.é-e.t-t.é-e.s-#),.p.r.o.p.r.i.é.t.és,.p.R.O.p.R.ij.e.t.e,(p-p.r-R.o-O.p-p.r-R.i-ij.é-e.t-t.és-e),és,e,és-e,339,4764,100,100,15.325,8.377,3079,101061,2263,65246,87.04,85.416,81.387,82.494,80,i-ij,80,i-ij,1.384,i-ij,14.399,és-e,1317,78832.869,3184,90177.964,4002,210357.889,1317,78832.869,2667,71873.393,380,5268.017,100,100,83.915,82.18,99.084,96.724,100,100,88.298,90.241,14.399,10.754
propulse,pROpyls,VER,8,7,1.14,8,2,3.10977,2.8,.p.r.o.p.u.l.s.e,.p.R.O.p.y.l.s.°,(p-p.r-R.o-O.p-p.u-y.l-l.s-s.e-°),.p.r.o.p.u.l.se,.p.R.O.p.y.l.s,(p-p.r-R.o-O.p-p.u-y.l-l.se-s),ulse,yls,ulse-yls,1,3,100,100,100,100,2407,87357,1893,59630,89.781,86.543,82.281,83.577,1061,s-s,27,se-s,51.832,s-s,5.613,se-s,1317,78832.869,2497,75274.934,2962,168375.764,1317,78832.869,2382,67298.258,27,2083.551,100,100,86.375,82.057,100,100,100,100,94.07,95.22,5.613,8.939
propulser,pROpylse,VER,9,8,1.13,8,3,3.10977,3.4,.p.r.o.p.u.l.s.er,.p.R.O.p.y.l.s.e,(p-p.r-R.o-O.p-p.u-y.l-l.s-s.er-e),.p.r.o.p.u.l.s.er,.p.R.O.p.y.l.s.e,(p-p.r-R.o-O.p-p.u-y.l-l.s-s.er-e),er,e,er-e,632,15089,98.596,94.232,28.571,26.531,2138,68768,1881,57477,89.597,85.916,80.055,81.91,805,er-e,805,er-e,51.832,s-s,30.504,er-e,1317,78832.869,2497,75274.934,805,19660.067,1317,78832.869,2154,60220.49,805,19660.067,100,100,86.375,82.057,98.531,94.982,100,100,84.99,85.857,30.504,40.134
prospère,pROspER,"ADJ,VER",8,7,1.14,8,2,3.10977,2.8,.p.r.o.s.p.è.r.e,.p.R.O.s.p.E.R.°,(p-p.r-R.o-O.s-s.p-p.è-E.r-R.e-°),.p.r.o.s.p.è.re,.p.R.O.s.p.E.R,(p-p.r-R.o-O.s-s.p-p.è-E.re-R),ère,ER,ère-ER,42,1881,100,100,14.737,15.625,2732,98906,1701,55728,92.267,89.624,66.867,67.467,380,è-E,369,è-E,51.832,s-s,14.903,è-E,1317,78832.869,2929,90673.025,2962,168375.764,1317,78832.869,2010,55107.903,537,35725.115,100,100,89.689,86.165,100,100,100,100,66.773,67.171,34.204,36.411
prospérer,pROspeRe,VER,9,8,1.13,8,3,3.10977,3.15,.p.r.o.s.p.é.r.er,.p.R.O.s.p.e.R.e,(p-p.r-R.o-O.s-s.p-p.é-e.r-R.er-e),.p.r.o.s.p.é.r.er,.p.R.O.s.p.e.R.e,(p-p.r-R.o-O.s-s.p-p.é-e.r-R.er-e),er,e,er-e,632,15089,98.596,94.232,28.571,26.531,2759,85070,2330,67611,92.065,88.881,79.981,81.483,805,er-e,805,er-e,51.832,s-s,30.504,er-e,1317,78832.869,3324,97010.796,805,19660.067,1317,78832.869,2753,73732.01,805,19660.067,100,100,89.665,86.011,98.531,94.982,100,100,84.89,85.289,30.504,40.134
prospères,pROspER,"ADJ,VER",9,7,1.29,9,2,3.10977,3.3,.p.r.o.s.p.è.r.e.s,.p.R.O.s.p.E.R.°.#,(p-p.r-R.o-O.s-s.p-p.è-E.r-R.e-°.s-#),.p.r.o.s.p.è.res,.p.R.O.s.p.E.R,(p-p.r-R.o-O.s-s.p-p.è-E.res-R),ères,ER,ères-ER,22,333,100,100,7.719,2.763,2792,99103,1660,51901,93.024,90.412,64.292,63.566,380,è-E,254,res-R,51.832,s-s,14.903,è-E,1317,78832.869,2830,86104.609,4002,210357.889,1317,78832.869,2010,55107.903,254,8934.409,100,100,91.162,88.141,99.084,96.724,100,100,66.773,67.171,16.178,9.106
prospérité,pROspeRite,NC,10,10,1,10,4,18.65863,4.4,.p.r.o.s.p.é.r.i.t.é,.p.R.O.s.p.e.R.i.t.e,(p-p.r-R.o-O.s-s.p-p.é-e.r-R.i-i.t-t.é-e),.p.r.o.s.p.é.r.i.t.é,.p.R.O.s.p.e.R.i.t.e,(p-p.r-R.o-O.s-s.p-p.é-e.r-R.i-i.t-t.é-e),é,e,é-e,638,12194,100,100,28.843,21.44,3000,90758,2541,71438,89.603,86.919,82.685,83.102,704,é-e,704,é-e,51.832,s-s,26.677,é-e,1317,78832.869,3498,101968.697,704,12995.844,1317,78832.869,2924,77818.529,704,12995.844,100,100,87.004,83.648,100,100,100,100,87.522,88.062,26.677,26.53
protecteur,pROtEkt9R,"ADJ,NC",10,9,1.11,9,3,37.31726,3.2,.p.r.o.t.e.c.t.eu.r,.p.R.O.t.E.k.t.9.R,(p-p.r-R.o-O.t-t.e-E.c-k.t-t.eu-9.r-R),.p.r.o.t.e.c.t.eu.r,.p.R.O.t.E.k.t.9.R,(p-p.r-R.o-O.t-t.e-E.c-k.t-t.eu-9.r-R),eur,9R,eur-9R,153,6412,100,100,54.448,59.82,2245,81690,2027,65362,78.198,79.539,81.452,84.365,352,r-R,364,r-R,22.647,e-E,23.185,r-R,1317,78832.869,2648,88755.442,352,35090.703,1317,78832.869,2366,67613.853,364,36129.368,100,100,72.009,73.77,99.717,99.462,100,100,87.126,88.924,23.185,36.823
protecteurs,pROtEkt9R,"ADJ,NC",11,9,1.22,10,3,3.10977,3.4,.p.r.o.t.e.c.t.eu.r.s,.p.R.O.t.E.k.t.9.R.#,(p-p.r-R.o-O.t-t.e-E.c-k.t-t.eu-9.r-R.s-#),.p.r.o.t.e.c.t.eu.rs,.p.R.O.t.E.k.t.9.R,(p-p.r-R.o-O.t-t.e-E.c-k.t-t.eu-9.rs-R),eurs,9R,eurs-9R,105,2945,100,100,37.367,27.473,3008,110892,2008,62385,80.311,81.311,80.22,81.331,401,eu-9,190,rs-R,22.647,e-E,12.102,rs-R,1317,78832.869,3095,102466.595,4002,210357.889,1317,78832.869,2366,67613.853,190,9332.446,100,100,75.504,77.048,99.084,96.724,100,100,87.126,88.924,12.102,9.512
protection,pROtEksj§,NC,10,9,1.11,9,3,31.09772,3.3,.p.r.o.t.e.c.t.i.on,.p.R.O.t.E.k.s.j.§,(p-p.r-R.o-O.t-t.e-E.c-k.t-s.i-j.on-§),.p.r.o.t.e.c.t.i.on,.p.R.O.t.E.k.s.j.§,(p-p.r-R.o-O.t-t.e-E.c-k.t-s.i-j.on-§),ion,j§,ion-j§,269,11985,99.63,99.974,61.982,71.028,1993,72955,1848,59422,65.319,67.811,76.187,78.592,408,on-§,408,on-§,9.193,t-s,16.03,t-s,1317,78832.869,2316,79020.48,408,24620.095,1317,78832.869,2130,61621.289,408,24620.095,100,100,55.548,58.645,99.029,99.786,100,100,76.697,78.903,48.804,55.006
protectrice,pROtEktRis,"ADJ,NC",11,10,1.1,11,3,3.10977,4.45,.p.r.o.t.e.c.t.r.i.c.e,.p.R.O.t.E.k.t.R.i.s.°,(p-p.r-R.o-O.t-t.e-E.c-k.t-t.r-R.i-i.c-s.e-°),.p.r.o.t.e.c.t.r.i.ce,.p.R.O.t.E.k.t.R.i.s,(p-p.r-R.o-O.t-t.e-E.c-k.t-t.r-R.i-i.ce-s),ice,is,ice-is,31,442,100,100,32.979,23.279,3058,108673,2645,77742,77.55,78.863,84.221,85.278,720,c-s,145,ce-s,22.647,e-E,30.146,ce-s,1317,78832.869,3262,105354.643,2962,168375.764,1317,78832.869,3123,86403.47,145,7357.728,100,100,72.561,74.166,100,100,100,100,89.008,90.152,30.146,31.568
